id,description
165,"There was an old man who used to come into town to buy supplies rather frequently, but I haven't seen him for quite some time now. He lives out in a shack overlooking Raven Hill cemetery, if I remember correctly. Perhaps you should go see if something is amiss."
166,"There is but one task left for you to complete.  Edwin VanCleef must be assassinated.  While it saddens me to condemn any man to a death sentence, it is for the greater good of the people of Westfall that VanCleef is laid to rest once and for all.  Bring me the villain's head once the deed is done."
167,"We were deep in a vast mine in Westfall, hidden beneath a barn in Moonbrook. No clue where these stinkin' thieving types came from. Anyway, the mine tunnel collapsed on us. I got out but the others... well... the others haven't been heard from.You look like you might have better luck in there. If you could look for my brother, I'd be thankful.  He always carried his Explorers' League Badge. If you can't find him, that badge would at least give me some peace of mind."
168,"Many of my friends perished that horrible day when the mine tunnel caved in.  If your adventures happen to bring you into that wing of the mine in Moonbrook, please keep an eye out for any sign which might identify them.  If you come across any of their Miners' Union Cards, bring them back to me and I'll make sure their families get some resolution from this horrible accident."
169,"Wanted! Gath'Ilzogg, Leader of the Blackrock attacks on Stonewatch Keep and raids against the township of Lakeshire.Gath'Ilzogg is extremely dangerous.  He is reportedly holed up in the recently conquered keep plotting the Blackrock clan's further crimes against humanity.  The orc infestation must be quelled at all costs.  A gracious reward will be given to whatever brave soul can deliver the head of Gath'Ilzogg to Magistrate Solomon."
170,"I hope you're here to lend us a hand, <class>. After the last trogg attack, we could use all the help we can get.I hear the buggers have been popping up all across the lands, and it seems Coldridge Valley is no exception. They've been spotted all over the hills to the southeast and near the frozen lake.And that's not all, just a few nights ago, they attacked and overran our camp to the west!We're a bit shorthanded here, < lad / lass>, and we need strong arms to help drive the troggs back."
171,"Ever since the darkness came to Duskwood, the wolves grew more feral. They were always a nuisance, but never a threat. Everything changes for the worst here, it would seem.They used to have a stranglehold in the woods, but since the worgen started appearing in Duskwood, the wolves have been pushed back to the northern and western borders.Nonetheless, the worgen didn't rid us of the problem, so it looks like it's up to us to clear the mongrels out. You'll find them to the west, along the river bank."
172,"You're willing to help us here at the orphanage?  Bless you, friend; your aid during Children's Week will be invaluable."
173,"Darkness seems drawn inexorably to Duskwood. Master Carevin's quest is the expulsion of evil and heresy. Through our efforts are the people of Darkshire kept safe.You believe yourself worthy to join us?I once thought as you. Disillusioned by the complacency of the Watch, I joined Master Carevin. If you wish to prove yourself, it will not be through words.Test your skills against the Nightbane Shadow Weaver worgen in Brightwood Grove--bright, hah!--and the Rotting Orchard."
174,"My Gnomish friend, Cog, has promised to help me build a device which will let me peer towards the stars.  A truth exists, beyond magic, that can explain the strange transformation in the forest.Bring to me a bronze tube made by a skilled engineer.  That is the first step, according to Cog's blueprint."
175,"According to Cog's blueprint, what I need now is a way to reflect light.  I remember a woman by the name of Mary who became well known around these parts for always carrying a looking glass.  Perhaps you can track Mary down and see if she might lend us a reflective surface for this project?  I believe she once resided in southern Duskwood. . ."
176,"Wanted: HoggerA huge gnoll, Hogger, is prowling the woods in southwestern Elwynn.  He has overpowered all attempts at his capture.The Stormwind Army has placed a generous bounty on the Gnoll.  To earn the reward, bounty hunters should bring proof of Hogger's demise to Marshal Dughan in Goldshire."
177,"The looking glass was one of my finest treasures until. . .the incident.  After that happened, I discarded it behind the barn.  There was an Insane Ghoul who used to roam back there.  Perhaps he picked it up.  Rumor has it the devilish beast resides in the Tranquil Gardens Cemetery."
178,"<You hear a disembodied voice...>Do not be alarmed.  I am Theocritus, High Mage of Tower Azora in Elwynn Forest.  The pendant you are holding is a method of communication between the Shadowhide Gnolls and their master, Morganth.Through months of research, I believe I too can communicate through these pendants.  If you can hear this message, then my spell was a success.Bring me this pendant and I will reward you for the service."
179,"What do we have here? You look as though you might need something to keep your hands warm, hm?I'll tell you what would help: a pair of nice, warm gloves. And, being the kind soul that I am, I'd be more than happy to provide you with a suitable pair. I've one condition, however.I need you to go get me some wolf meat. Nice arrangement, hm? You bring me some wolf meat, and I'll make sure you don't lose any digits to frostbite. Well, what do you say?"
180,"Wanted: Lieutenant FangoreKnown leader of the Shadowhide Gnoll Clan, working under the enemy of the Township and Kingdom, Morganth.  By mandate of Magistrate Solomon, this vile betrayer of Stormwind is wanted dead.  Show his paw to the Magistrate as proof of his death."
181,"Now there is just one more item needed to complete this device.  Cog's blueprint calls for a lens of some sort.  The only lens I know of that would be large enough will be very difficult to acquire.There is an ogre by the name of Zzarc'Vul who resides in the mound in southern Duskwood.  If you can, bring to me his monocle and I will use that as our lens!"
182,"My brother Senir and I were sent to different parts of Dun Morogh to investigate the threat posed by the trolls. The Senate has its hands full with the troggs, so they've no need for further annoyances.From what I've seen, the trolls aren't well situated here in Coldridge Valley--mostly the southern cave. I'd say that the army will not be necessary. A few strong arms should be more than enough.Perhaps you'd like to assist in this endeavor? I have the authority to offer compensation for your help."
183,"Nothing like a day of boar hunting, eh?Though, here in Coldridge Valley, there are so many boars it almost takes the fun out of it. No need to get them charging. They're all angry and ready without any help. In fact, recently, there've been so many boars in the area, it's become dangerous for me to do my daily hunting.Long story short, if you could help me kill some of the boars, I would appreciate it."
184,"This is the deed to an expanse of farmlands within Westfall.  It is signed by a Theodore Furlbrow and cosigned by his wife, Verna.  And on the back of the deed are hastily scrawled words:""We leaned on Furlbrow and got his deed.  Thought it might be handy if you wanted to forge one of these for your own place.The Furlbrows won't give us trouble.  Last I saw them they were on their way out of Westfall, stuck with a broken wagon.""You think the Furlbrows might want their deed back..."
185,"When I was but a young girl, my father trained me in the art of tiger hunting.You'll find the young felines much easier to track and slay.  For this reason, we'll start you out easy.  One can often find young tigers near the expedition camp.Test your tracking skills and see if you can hunt some of the beasts down."
186,"You are learning, <class>.  Let us test your skills with the mature cats now. Kill 10 Stranglethorn Tigers this time out."
187,"Now I'm going to up the stakes on you and truly test your skill.  Prove to me you can kill 10 Elder Stranglethorn Tigers.  If you can do that, you will be ready for your final challenge before I declare you a master tiger hunter in Master Nesingwary's presence.Elder Stranglethorn Tigers are not only the most difficult to find, they are also the fiercest to defeat."
188,Here is the final challenge that I will put forth.  We've been tracking an elusive tiger for weeks.  We call the beast Sin'Dall.  See if you can do what no <race> has done before: hunt down and kill Sin'Dall.  Bring me her paw as proof of your accomplishment.Tracking her down will be no easy task.
189,"Damn trolls! They've been killing off our agents in the jungle! I've already lost a good number of my best guards to skirmishes with them. The costs are piling up! How will I explain this to Baron Revilgaz?Decisive action... Think, Kebok... you weren't assigned to the post you have today for sitting around... I've got it! You... <name>, is it? You'll help me, won't you? There's money to be had!Here's the deal... you bring me the ears of fifteen Bloodscalp Trolls, and I'll compensate you well."
190,"If you want to be a part of the hunt with this crack group Hemet has assembled, you're going to need to prove yourself an able panther hunter. We'll start you out easy -- don't you worry. Let's see you kill 10 young panthers to start.Tracking them down is only half the challenge..."
191,"Now you're ready to turn it up a notch.  If you want to prove yourself worthy of socializing with the likes of these big game hunters, you'll need to prove that you can kill 10 panthers.Those big boys are tougher.  They're not as easy as the young ones you were killing earlier."
192,"Now the hard part.  A true panther hunter can show skill by dropping Shadowmaw Panthers, the deadliest in Stranglethorn.  Prove to us that you can slay 10 of these beasts.If you think they are hard to track, wait until you attempt to slay one...."
193,You've almost proven yourself to be a master hunter of panthers.  A panther by the name of Bhag'thera has been prowling the jungle.  So far he's eluded our party.  See if you can use your skills to kill the great Bhag'thera.Bring me the Fang of Bhag'thera and you'll have earned my respect!
194,"So you think your hunting skills are in tip-top shape?  I can put them to the test in a jiffy.  Head out into that jungle and kill 10 Stranglethorn Raptors.  We'll see just how much of a big game hunter you are.And no, I won't tell you where you can find them!  Locating the beasts is half the challenge."
195,Now let's step up the challenge and see if you're up to it.  Venture into the jungle and bag yourself 10 of those bloody Lashtail Raptors.  Let's see what you've got!
196,Let's see how you handle this next challenge.  There is a cagey breed of raptor out there.  We call them Jungle Stalkers.  They are far more difficult to track down and kill than the other breeds you've been trying your luck at.  Kill 10 Jungle Stalkers and I'll tip you off to the best hunting yet.
197,"Because you proved yourself to be such a go-getter in the jungle, let me tell you about a ferocious raptor that even I have failed to kill.  Ajeck here calls this wily raptor Tethis.If you want to prove yourself a true master, kill Tethis and bring me his talon.  It would be a feat that no other big game hunter has accomplished."
198,"Hmm. Yes, I do have something you could do, actually. Lieutenant Doren and his followers up in the north need their regular supplies from us.They haven't been delivered, and with the trolls attacking, I'll need someone to do it. Doren's camp lies northwest of the road at the entrance to Stranglethorn from Duskwood. Give the supplies to Private Thorsen, if he's not in the camp, then he'll be patrolling south of it. He'll take care of them.Mind you, if you fail, you'll owe me restitution."
199,You take a sample of the strange smelling powder.
200,"If Kurzen knows Thorsen's secret, then we have a spy in our midst.  We must determine how the secret was leaked!Thorsen's contact within Kurzen's camp was Bookie Herod.  Herod is Kurzen's logistics officer and knows everything about the running of Kurzen's Compound.  If you can get Herod's notes or records, maybe we can find out how Thorsen was discovered.When we were still with Kurzen, Bookie's office was on the top floor of the camp's only two-story house.  His records are probably still there."
201,"I've gotten reports of a group of hunters that have set up camp upriver of the Venture Company mining camp on Lake Nazferiti.  Now, normally I wouldn't care, but improbably, I heard that Hemet Nesingwary Jr. was one of the hunters there.  He's certainly well-connected, if you catch my meaning, and you never can be too safe.Why don't you go check out the camp, <name>, see what they're about?"
202,"You have proven yourself time and again, and your resourcefulness seems to rival even that of Kurzen himself.  You may be the salvation of our band of rebels...if you can pit yourself against Kurzen and prevail!He commands his men from deep within the Stockpile.  You must enter that cave, brave through his defenders, and face Kurzen and his leaders.Farewell, <name>.  My hope, and the fate of my men, go with you."
203,"We're fighting a losing battle with Colonel Kurzen.  Not only is he a brilliant tactician, he outnumbers us at least 10 to 1!  To survive, we need to use his own, covert tactics against him.Enter his camp to the east and kill his men.  Lots of them.  And get out before reinforcements can close on you."
204,"To have a chance against Kurzen, we need his healing support neutralized.  He has gathered a large number of Medicine Men who heal his forces with Jungle Remedies and poison our fighters with Venom Fern Extracts.We need those remedies and extracts for our own.  Search the Kurzen Compound - his Medicine Men and Jungle fighers will have the remedies, and the extracts are probably stowed in some of the camp's supply boxes."
205,"While I study those legends you acquired, gather for me implements of evil troll magic.  Enter the territory of the Skullsplitter trolls, a second tribe to the distant south, and acquire Skullsplitter Fetishes from their Witchdoctors and Mystics."
206,"Kurzen may be dead, but...that which drove him to evil still lives!  Through my studies I have discovered this: An Ogre Mage - Mai'Zoth - dwells in an Ogre Mound within the eastern mountains of Stranglethorn.  He is rumored to employ mind-controlling magic, and I am positive that he corrupted Kurzen.If Mai'Zoth is allowed to live, then his evil may influence others, and may even cause another Kurzen to surface.Kill him, and bring me his Mind's Eye, the artifact he uses to corrupt others."
207,"Colonel Kurzen was once a great, noble man - I must find what caused his fall into depravity!  He may be under the sway of troll magic.  To confirm this, I must study some of their legends.There are 4 tablets hidden within the troll ruins of Stranglethorn.  I must see what is written on these tablets!  Transcribe their markings and bring the transcriptions back to me.The first tablet is in the Bal'lal Ruins, the second is in the Vile Reef, and the third and fourth are in the Ruins of Zul'Kunda."
208,"<name>, you are a hunter worthy of our company.  From the battlefields of Lordaeron to the deepest jungle, I have rarely witnessed such prowess with weaponry as you have demonstrated.You have killed the ferocious Sin'Dall, the elusive Bag'thera and the treacherous Tethis.  But the true prize is the head of King Bangalash.  That white tiger is the reason I am here.  I've had my sights on him for quite some time now.  Kill King Bangalash and your hunting prowess is proven to be second to none."
209,"It's expensive and hard to kill enough tigers to support the export of tiger fangs to the islands in the South Seas. Luckily, we've developed a technique that allows us to take mundane horn-like objects and turn them into undetectable forgeries.The closest match we've found, amazingly, are the tusks of the Skullsplitter trolls.Hey, before you say anything, what the buyer doesn't know doesn't hurt them, am I right? Bring me a large number of them so we can get to work on the monthly shipment!"
210,"I do most of the cooking at the camp.  And it used to be a lot of work, until I bought a mechanical cooking pot from a goblin merchant in Booty Bay.  The pot is a wonder!  It saved me countless hours...until it broke!Can you take the pot back to the goblin for me so he can fix it?  His name is Krazek."
211,"Alas, the time to attack Andorhal and drive out the lich that controls it is upon us!Inside the ruins of the city is where the lich - Araj the Summoner - holds dominion.  He is guarded by numerous Scourge surrounding the remains of city's center, and his personal retinue of guardians attached to him directly is formidable.  You will need numerous allies to even stand a chance of facing him successfully.Destroy Araj, <name>, and bring me a shard from his phylactery as proof!"
212,"One of my most famous dishes is Chilled Basilisk in Lime Vinaigrette.  But the problem is... the meat is impossible to keep fresh, and I must serve the dish tonight for a noble's birthday!So if you can bring me a Chilled Basilisk Haunch from a freshly-killed Cold Eye Basilisk, quickly, then I will owe you a king's feast!Cold Eye Basilisks are known to roam along the beach dunes of northwestern Stranglethorn, so you have much traveling to do.  And be swift!"
213,"He's done it this time! Bad enough that Gelriz's muscling out the moguls who were appointed by the trade princes, now he tries to cut in on the most notorious pirate!Revilgaz won't have it, and he's told me to take care of the problem in my own way.My way? Theft. The Venture Co. geologists near Lake Nazferiti are deeply interested in those strange blue crystals they have been finding in the mines. Bring me samples of the stone from their geologists, I don't care what you have to do to get them."
214,"It's no secret that the trademark of the Defias Gang is their Red Bandanas.  But we've learned that the material from which these bandanas are made signifies the member's rank.That being said, I want you to eliminate as many high ranking Defias members as you can.  The highest ranking members will undoubtedly be found in VanCleef's secret hideout.  When you're done bring me 10 Red Silk Bandanas as proof of their deaths and I will reward you.  Good luck, <name>."
215,"Thank you for saving me, <name>.  I know how this looks, but...allow me to explain.I was charged by Lieutenant Doren to re-enlist with Kurzen's men, so that I might spy on them and bring sorely needed intelligence to the rebels.  You saw here what I had thought would be my chance to infiltrate Kurzen's Compound.  I was wrong, and again, thanks for saving me.This was a top secret mission, so you must tell no one.  But if you speak with Doren he will explain."
216,"The Thistlefur furbolgs are threatening our expansion!  Thistlefur Village to our east blocks the way between us here and the Splintertree Post.  It's a path that would circumvent the village of Astranaar; without it, we give the Alliance an extra expansion path.<name>, we must not allow... an expansion path gap!Proceed to Thistlefur Village and thin out the furbolgs.  You will be given compensation for this task, but more importantly you will be doing your duty for the Horde!"
217,"<name>, our scouts have identified the leader of this recent Trogg incursion.  It appears that these beasts in Loch Modan are following the lead of a chieftain named Grawmug.  Grawmug is heavily guarded, however.  Two of his most elite guards, Gnasher and Brawler, never leave his side.If you feel yourself worthy, <name>, I want you to lead the assassination mission on Grawmug and his two thugs.  With the Trogg leadership dead, we just might stand a chance at pushing these beasts back into the ground."
218,"My journal! They took it away to the cave. The one that had it... It was a big brute with some odd markings on his skin and face. I didn't get a much better look than that.You've had some luck with the trolls, maybe you could go get it back for me?"
219,"At last, friends of the Alliance!Help... please...The last thing I remember these foul Orcs overpowered our regiment.  Most the men were killed. I took a strong blow to the head and everything went black. Now I am held captive in this cave.  Help me, I am hurt badly.I'll need help getting back to town... please... you're my last hope..."
220,Islen will have one more task for you before rewarding you with your next totem. The vial of water I've given you is necessary for whatever that task is.Go now and find her. We shall meet again some day.
221,"You might have noticed some larger worgen wandering around with the Shadow Weavers in the woods? From what we can tell, these Dark Runners make up the bulk of the worgen numbers.On my rangings, I've also noticed that they have overrun the Rotting Orchard southwest of town. These worgen are a bit tougher than the last you faced.Be on your guard."
222,"Your previous accomplishments have convinced me that you are ready to take on the toughest worgen infesting the woods.Of the worgen that have made their new home here, the Vile Fangs and the Tainted Ones have proven the most dangerous. They've settled down near some of the caves and in the mine to the south.From far away you can even see the light from their bonfires..."
223,"Here you go, <name>. Bring this message to Master Carevin.<He quickly removes a piece of faded parchment and offers it to you.>A few more like you, and we will outnumber the Night Watch! Perhaps then we could complete the work that we few carry on today."
224,"We need to protect the Loch, <name>!  With so many of the King's soldiers fighting valiantly on remote battlefields, we've become overwhelmed on the home front.  Troggs are tunneling up from every crevice!  The Trogg infestation poses the largest threat to Ironforge.  These disgusting mutants must be destroyed.We need you, brave adventurer, to venture forth and lay waste to the Trogg threat.  Slay 10 Stonesplinter Troggs and 10 Stonesplinter Scouts and report back."
225,"The weathered grave marker reads simply:MORGAN LADIMORE<Upon further examination, you notice that dirt over the grave has been recently disturbed, and that a good amount of the dirt seems to have been displaced...>"
226,"Sven and I have dangerous days ahead of us, what with the Necromancer to the east and all.  And out here alone as we are, we have to hunt for our own food.  It seems every time I'm heading back to camp with some meat on me, starving or rabid dire wolves come out of the forest wanting a bite.  It goes without saying, living out here is dangerous work!But if you can rid us of some of those wolves, we'd have an easier time of it.  They mostly prowl north and east of here, near the river."
227,"<He searches through the shelves and comes up with a leatherbound book.>If you would like to know more, you might ask Althea, she's been the one to handle the... trouble... with him of late."
228,"From what my scouts tell me, Mor'Ladim wanders throughout Duskwood, following a strange and meandering path through the cemetery. We buried him out past the house on the hill, you know where that is?There isn't anything I can do to help you, but I wish you good luck."
229,"I should have told you this earlier...How do I put this...Morgan may have believed that his family was all dead, but, in fact, his daughter Sarah Ladimore is now a Watcher. She's always been troubled by the... circumstances... surrounding her father's death. Perhaps you could go to bring the news to her."
230,"Digging through the mound, you find a small, dirt-stained book.The book has no title, but...it has information Sven would like to know."
231,"Here, take this and lay it on his grave. Maybe... somehow, he'll know that I'm okay, and that none of us hold him responsible for what happened.<There are tears in her eyes now, as she slides a ring from her right hand, and presses it into your hands.>And... thank you, <name>."
232,"The Royal Apothecary Society needs your assistance.  Listen closely, and both of us may profit from my plan.Apothecary Keever in the next room may be... touched... but his research does potentially bear fruit if it were pursued by a clever researcher.  Fortunately, I am such a researcher.  I want you to take this purchase order to Alessandro Luca, the proprietor of Blue Moon Odds and Ends; he'll give you a testing kit.  When you have it, bring it back to me and I'll outline your task in detail."
233,"Hm, I don't suppose you'd be willing to do a favor for me, < lad / lass>? A stack of letters came through the pass today, but I don't have the time to send them along.They're all addressed to Talin Keeneye. You can find him to the west down the road. He's set up camp next to the frozen lake.What do you say?"
234,"If I remember correctly, Grelin's camp is down the road to the southeast. No doubt he'll be eager to get his mail."
235,"Attention, young adventurers!  The wilds of Ashenvale await you!The Horde has established a strong presence in the lands north of the Barrens.  Our two outposts - Splintertree Post and the Zoram Strand Outpost - strive to bring glory to the Horde!  Those who would prove themselves should seek out guidance there.  Of note: Senani Thunderheart in Splintertree Post, directly north of the Barrens, seeks adventurers willing to take part in a great hunt of Ashenvale!"
237,"Mountaineer Cobbleflint had nothing but good things to say about you, <race>.  For that reason I am going to entrust upon you a mission of utmost importance.  We need to keep pressure on the invading Trogg forces until our Dwarven brethren return from the Alliance front.Set forth into the southern hills and kill 10 Stonesplinter Skullthumpers and 10 Stonesplinter Seers.  Your attacks will buy us some time.  Report back when your mission is complete."
238,"The kit is ready, <name>.  No doubt that Apothecary Zinge will want this as soon as possible.  Take it to her without delay, and let her know that I will add the cost of the kit to the Society's tab.  Also, please extend to her my warmest salutations.Well, don't just stand there.  Such is the life of a simple courier, yes?"
239,"The Garrison on our western border sends word of increasing gnoll and thief activity.  They're requesting we send more Stormwind soldiers... but we just don't have any to spare!If you can help, we could use it.  Go and speak with Deputy Rainer at the Westbrook Garrison and see what he needs done.The Garrison is down the road to the west.  After you cross the bridge over the small brook it will be to the right."
240,"And here we are - ""Crab"" Cakes ala Grual!"
243,"You will be headed to the Tanaris desert, testing the tissue consistency of the basilisks, scorpids, and hyena native there.  Obtain tissue samples and use them with the testing kit in tow; expect a chunk of the samples to fail.  I need eight acceptable samples of each creature type.In addition, the goblins of Gadgetzan have a power source that must be used with this kind of modified kit.  Speak to Chief Engineer Bilgewhizzle and acquire one for the kit.Return to me only when you are successful."
244,"Hail, <class>.  I am charged to patrol this stretch of road.  Although the road is safe for now, I've seen gnoll encampments to the north and east of here.Lakeshire must know of the gathering gnoll force!  Report to Deputy Feldon in Lakeshire and tell him of the gnolls.  Do this, and I'm sure Feldon will offer you a scout's wage.Feldon's usually inspecting the area south of the bridge to Lakeshire."
245,"Hail, <class>. Perhaps you've seen those spiders that have taken over the western border? The eight-legged menaces are too much for us to handle, and the Commander hasn't enough manpower to spare so far from Darkshire.I hate to ask this of you, but you seem like you might be able to handle them. I can't promise you anything of great value, but I can reward you if you can help root out the filthy bugs.Oh, and a word of advice, you'll want to avoid their venom if you can."
246,"We don't have men to spare, but something must be done about those gnolls you reported to me.Scout southern Redridge for gnolls.  Harry them, kill those you can and report back to me with a count of their numbers and an assessment of the threat they present.  You may find those gnolls camped all along the southern road of Redridge.Do this for the Stormwind Army, <name>, and you will be rewarded."
248,"I have been watching the Tower of Ilgalar, and can detect that Morganth is in conflict with the Orcs in Stonewatch Keep.  I do not know the reason behind their contention, but you may aid me in unraveling this mystery.Take another Glyph of Azora, then go to the top of the intact watch tower beside Stonewatch Keep.Find a suitable object on which to place the Glyph.  A chest or a jar -- some place where the glyph will not be noticed -- will suit my purpose."
249,"After much observation, I have discovered Morganth's plans.He searches for the Scythe of Elune...and he may have found it!  If he has, then the Redridge Mountains, and the kingdom of Stormwind, will soon feel his dark might.I am not prepared to pit myself against Morganth, but I fear he must be dealt with now.  So you must enter the Tower of Ilgalar and face Morganth.Defeat him, and bring me his Pendant of Shadow.  Do this, and the kingdom will owe you much."
250,"Thank the stars someone is concerned about the well-being of the Dam.  First the destruction of the Thandol Span and then the pillaging of Dun Modr!  I have no doubt that the Dam will be the target of the next Dark Iron threat.  Most of the security detail here was reassigned to the Alliance Front, including my top inspector.That's why I need you, <name>.  I spotted some Dark Iron Sappers milling about the eastern ramp of the Dam.   Investigate the area and bring back a clue."
251,"Take the note you gave me to Sirra Von'Indi.  He's very learned in languages and ancient arts - if anyone here can translate this message, it's he."
252,"Oh my!  If what is written on this note is true, then Abercrombie's done something...unspeakable.You better bring the translated note back to Ello.And do so quickly, for I fear a doom already lumbers toward our town..."
253,"The Embalmer is a name told in one of our children's stories.  He was a kindly alchemist, driven mad by the death of his wife, Eliza.  To restore her, he used dark magic to place his own heart within the bosom of his dead spouse.This revived Eliza...but it cursed her with a hunger for human flesh, forcing the Embalmer to keep her buried.His heart is his power.  Find his wife's grave, retrieve his heart, and bring it to me while it still beats.  Do this and his power will be broken."
255,"Two months just to hear from Ironforge that we'll be spared a handful of soldiers for our own defense, and another two months until they arrive! Bad enough that our town goes unprotected, but the excavation and the dam--the dam!--are open to attacks as well.I've no choice then, it seems. I'll need hired arms.How about you? You seem a likely sort, <class>. A group of ogres has set up camp on the northeast of the lake. Perhaps you will be the one to remove the threat to our town?"
256,"By order of the Magistrate of Thelsamar:Chok'sul, the ogre presumed to be the leader and coordinator of attacks against the town of Thelsamar, Stonewrought Dam, and the excavation site, is wanted dead through any means necessary.Monetary compensation will be provided when proof is brought to the Magistrate of Chok'sul's death.Chok'sul was last seen at the ogre encampment in the northeastern part of Loch Modan."
257,"Think you can match wits with Daryl the Bold, huh? I should think not! Of course, you're more than welcome to try. Here's a challenge that should prove to be above your abilities, so don't feel too bad if you can't face up to it.A flock of buzzards has nested here in Loch Modan. Why don't you try to take down some of the beasts? Tell you what, if you meet my challenge in fifteen minutes, I'll give you my bow or gun.<He looks you over dismissively.>It seems you haven't much to lose, anyways."
258,"<name>ath, is it? I can tell you're bursting with pride over completing the first test, hm? As I told you before, it's no large feat.You should try your hand at boar hunting. Trust me, this is no Coldridge Valley boar hunt, so you'd best have a care with them. I'll give you just twelve minutes this time.Don't feel bad if you fail. I'd give you the shirt off my back if you succeeded!Have I ever related to you the story of how I received my famous scar? No? It was two years ago..."
261,"I will be frank.  We are at war with the Scourge.  It is an evil that corrupts our people and infects our land.  It must be stopped before it overwhelms us and drags our world into shadow.  We of the Scarlet Crusade have sworn to fight the Scourge with body and soul.If you are with us, then gather your courage and prove your allegiance--destroy the undead ravagers of Desolace, in the Valley of Bones to the south.Do this, and the Crusade will embrace you."
262,"I must know who was that skulker in the shadows I saw the night my family was killed!Please, <name>, you have shown your resourcefulness.  Please find that shadowy figure.  I must learn what secrets he holds!I do not have clues that you do not already know, but here - take the book you found at my farm.  Perhaps some of the townsfolk can link this book with its owner."
263,"The Mountaineers tell me you are quite brave and capable, <name>.  We need a <race> like you around here.  The Trogg problem isn't getting any better.  The reserves have been called to the front and we're all alone out here.  But now that we have a seasoned <class> here, let's see what you can do.Go out and kill 10 Stonesplinter Shaman and 10 Stonesplinter Bonesnappers.  Let's see if you live up to your reputation, Trogg-Slayer."
264,"Filthy scum! Leaves me for his damn crusade. Because ""the Light is the most important thing we have against the threats the undead pose.""Well, what about his children?! What about ME?! Night after night I sat patiently waiting for him... always second to his blasted duty!Well, witness what ""justice"" brings you, <name>! He's dead and I'm bearing the very thing he was trying to stop!Take this piece of junk and put it on his tomb at the Sepulcher. I want nothing to do with it anymore... or him!"
265,"Here is your book back, <name>, and I bid you fortune with your search.  If you ask others in town, perhaps they can offer you more clues.And here is one more for you - although the author of this book is a stranger to Darkshire, the book itself was purchased here."
266,"Here is your book, and good luck with your inquiries.You might want to expand your search to the inn.  If the person whom you seek spent time in town, then chances are someone saw him there."
267,"<class>, you may or may not be aware of the Trogg threat looming over Dwarven lands.  With the Ironforge Reserve called up to the Alliance Front, we are left with a fraction of the defense forces needed to keep these lands safe.  My regiment is assigned to watch over the Gate here and we cannot leave our post for fear of invasion.But we need some pressure put on those damned Troggs lurking in the hills.  If you're up to the task, wage an assault on the Troggs.  Bring me back 8 Trogg Stone Teeth as proof."
268,"The book you found was only half finished.  I had to leave it at Sven's farm when I fled there...Here.  Take my completed journal to Sven.  It describes more fully what happened at his farm.Although this journal has been my only company these past weeks, if giving it up keeps me from having to face Sven and his wrath, then I do it willingly!"
269,"Go to the city of Stormwind and speak with Bishop Farthing in the Cathedral of Light.  Give him Jitters' journal and tell him you mean to face Morbent Fel.Although Stormwind has forsaken Darkshire, Farthing is a kind soul and very wise.  He may help you on your quest to save us.Your mission is perilous, but hurry, <name>.  With each passing hour, the shadows of Duskwood grow ever darker."
270,"Years ago, the Third Fleet of Kul'Tiras sunk along the coasts of The Wetlands, an expanse of marsh north of the Dwarven kingdom of Ironforge.  Aboard one ship was a load of Lightforge Iron.This metal is precious to us, for items crafted from it strike with holy truth.  If you are to face Morbent Fel, then you will need such a weapon.Go to Menethil Harbor and speak with my dwarven colleague Glorin Steelbrow.  If that lost metal can be found, he'll know where to look."
271,"I don't suppose you'd be interested in a little payback for His Boldness? Daryl does have some skill, it pains me to say.A year ago, a large bear had been the target of the Farstrider Lodge, but none of the hunters had any luck with him. So, Daryl thought he'd try his hand against him. All he had to show for his effort was that ugly scar over his eye.Kill the bear, and I'm sure even Daryl would be speechless for once.The bear, Ol' Sooty, can be found around his lair in the hills over Thelsamar."
272,"For the second trial, you'll need the two halves that make the Pendant of the Sea Lion.  One half draws power from the agility of the sea lion aspect, gliding through water; the other draws power from the incredible endurance of the sea lion aspect.  Druids draw on both these traits equally to embody the aspect of their aquatic form.Speak with the locals of Moonglade to learn where the parts may lie, and bring both here to join them together.  Once formed, take the pendant to Dendrite Starblaze."
273,"It's not too late though, you're welcome to go look for Huldar. He can't have made it very far, strong as they are, Miran and Saean can only move so fast laden down with those barrels.They're taking the normal route to the site, leaving south out of town and following the curve of the Loch.Shouldn't have a problem finding them unless they've already gotten there."
274,"This ain't no ordinary blast powder.  Look at the tiny silver crystals.  And the distinct smell!  Why it's clear as daylight that this is Seaforium Powder.  Seaforium is harmless enough.  But once it's wet it could blow Ironforge out of the mountain.The chemical reaction can be defused by mixing four components:  lurker venom, crushed Mo'Grosh crystal, a crocolisk tear and this disarming colloid.  Now tell Hinderweir before it's too late!"
275,"I do not know why, but a festering grows within the Wetlands.  Fen Creepers have risen.  They are diseased, fevered blisters on the land, and for the fever to break they must be dispatched and allowed to settle back into the marshes.The Fen Creepers shamble amidst the waterways of the Wetlands."
276,"The Mosshide Gnolls have lived in the Wetlands peacefully for many years, but now grow in numbers.  Their feet stamp flat the fen's bushes and flowers, and their foul axes cut too much wood to fuel their fires.They are no longer in balance with the land.  For the Wetlands to survive, the Gnolls must be reduced.Kill 15 Mosshide Gnolls and 10 Mosshide Mongrels.  Hunt them to the south, near the Dwarven gate of Algaz.  After you do this, return to me."
